"","location","cost_i","rent_i","safety_i","crime_i","cluster"
"1","Argentina",34.69,7.71,35.86,64.14,"1"
"2","Australia",77.75,36.84,56.15,43.85,"2"
"3","Austria",71.04,27.13,73.92,26.08,"3"
"4","Bahrain",54.77,29.22,75.59,24.41,"3"
"5","Bangladesh",33.13,4.42,36.55,63.45,"1"
"6","Belarus",30.89,9.81,41.59,58.41,"1"
"7","Belgium",72.61,25.79,54.62,45.38,"2"
"8","Brazil",33.24,8.27,32.99,67.01,"1"
"9","Bulgaria",38.38,9.07,61.26,38.74,"4"
"10","Canada",70.22,34.33,57.05,42.95,"2"
"11","Chile",43.9,13.51,46.02,53.98,"4"
"12","China",41.77,16.53,70.61,29.39,"5"
"13","Colombia",26.72,8.18,42.29,57.71,"1"
"14","Costa Rica",47.01,14.7,46.14,53.86,"4"
"15","Croatia",48.94,13.38,75.87,24.13,"5"
"16","Czechia",48.24,18.4,74.46,25.54,"5"
"17","Cyprus",59.03,22.36,67.88,32.12,"5"
"18","Denmark",84.12,33.23,73.44,26.56,"3"
"19","Ecuador",37.34,11.28,42.76,57.24,"1"
"20","Egypt",29.52,5.82,53.43,46.57,"4"
"21","Estonia",53.68,16.37,76.18,23.82,"5"
"22","Finland",73.2,25.95,72.75,27.25,"3"
"23","France",74.13,25.33,47.59,52.41,"2"
"24","Germany",65.58,27.62,63.63,36.37,"5"
"25","Ghana",36.2,19.31,53.19,46.81,"4"
"26","Greece",56.22,12.68,52.59,47.41,"4"
"27","Hong Kong",80.71,74.57,78.08,21.92,"3"
"28","Hungary",40.66,11.91,65.71,34.29,"5"
"29","India",24.43,5.3,55.37,44.63,"4"
"30","Indonesia",35.85,9.82,53.88,46.12,"4"
"31","Iran",37.39,17.05,50.89,49.11,"4"
"32","Iraq",34.47,10.63,53.05,46.95,"4"
"33","Ireland",76.05,42.08,54.52,45.48,"2"
"34","Israel",88.05,33.94,67.88,32.12,"3"
"35","Italy",66.47,20.55,54.8,45.2,"2"
"36","Japan",77.03,25.86,77.88,22.12,"3"
"37","Jordan",49.19,9.23,59.76,40.24,"4"
"38","Kazakhstan",28.68,9.44,46.55,53.45,"1"
"39","Kenya",33.92,8.73,43.79,56.21,"1"
"40","Kuwait",48.68,31.31,66.59,33.41,"5"
"41","Latvia",48.45,11.77,61.35,38.65,"4"
"42","Lebanon",69.62,24.81,53.13,46.87,"2"
"43","Lithuania",45.65,15.01,66.72,33.28,"5"
"44","Malaysia",37.02,9.87,44.29,55.71,"1"
"45","Mexico",35.35,12.55,46.32,53.68,"1"
"46","Netherlands",75.66,36.06,72.12,27.88,"3"
"47","New Zealand",74.52,34.44,56.7,43.3,"2"
"48","Norway",100.9,34.68,66.15,33.85,"3"
"49","Oman",49.42,16.77,80.01,19.99,"5"
"50","Pakistan",19.92,3.91,57.99,42.01,"4"
"51","Peru",32.53,11.22,32.9,67.1,"1"
"52","Philippines",37.06,9.59,57.67,42.33,"4"
"53","Poland",38.95,14.45,70.21,29.79,"5"
"54","Portugal",47.94,20.73,69.42,30.58,"5"
"55","Qatar",62.81,48.2,86.22,13.78,"3"
"56","Romania",35.24,10.17,71.21,28.79,"5"
"57","Russia",35.26,13.09,60.38,39.62,"4"
"58","Saudi Arabia",50.41,11.67,75.28,24.72,"5"
"59","Serbia",36.21,8.73,61.71,38.29,"4"
"60","Singapore",83.98,66.43,72.36,27.64,"3"
"61","Slovakia",44.68,16.11,69.82,30.18,"5"
"62","Slovenia",53.88,17.9,77.35,22.65,"5"
"63","South Africa",42.09,16.6,23.94,76.06,"1"
"64","South Korea",73.22,20.02,73.51,26.49,"3"
"65","Spain",53.88,21.25,66.13,33.87,"5"
"66","Sri Lanka",31.29,8.23,58.79,41.21,"4"
"67","Sweden",71.74,25.86,51,49,"2"
"68","Switzerland",123.35,53.54,78.32,21.68,"5"
"69","Taiwan",62.35,17.69,84.13,15.87,"5"
"70","Thailand",43.21,14.69,60.69,39.31,"4"
"71","Turkey",28.31,6.63,60.31,39.69,"4"
"72","Uganda",33.5,9.19,43.76,56.24,"1"
"73","Ukraine",30.71,10.57,53.06,46.94,"4"
"74","United Arab Emirates",58.33,43.28,84.86,15.14,"3"
"75","United Kingdom",69.65,31.84,53.53,46.47,"2"
"76","United States",70.13,42.07,51.84,48.16,"2"
"77","Uruguay",52.07,13.93,48.56,51.44,"4"
"78","Venezuela",43.2,9.99,16.42,83.58,"4"
"79","Vietnam",37.48,13.22,54.19,45.81,"4"
