"","location","dtw_hclust"
"1","Portugal","3"
"2","Germany","3"
"3","United Kingdom","3"
"4","Belgium","3"
"5","Switzerland","3"
"6","Austria","3"
"7","France","3"
"8","Cyprus","3"
"9","Israel","3"
"10","Bahrain","3"
"11","Singapore","3"
"12","Netherlands","3"
"13","Sweden","3"
"14","Denmark","3"
"15","South Korea","3"
"16","Ireland","3"
"17","Norway","3"
"18","Serbia","6"
"19","Estonia","6"
"20","Latvia","6"
"21","Slovenia","6"
"22","Lithuania","6"
"23","Slovakia","6"
"24","Czechia","6"
"25","Uruguay","6"
"26","Belarus","4"
"27","Finland","4"
"28","Sri Lanka","4"
"29","Taiwan","4"
"30","Egypt","4"
"31","Ghana","4"
"32","Kenya","4"
"33","Pakistan","4"
"34","United Arab Emirates","4"
"35","Japan","4"
"36","Thailand","4"
"37","Ecuador","2"
"38","Iraq","2"
"39","Oman","2"
"40","Vietnam","2"
"41","China","2"
"42","Saudi Arabia","2"
"43","Bangladesh","2"
"44","Uganda","2"
"45","Indonesia","2"
"46","India","2"
"47","Philippines","2"
"48","Venezuela","2"
"49","Kuwait","2"
"50","Qatar","2"
"51","Hong Kong","2"
"52","Australia","2"
"53","New Zealand","2"
"54","Croatia","5"
"55","Bulgaria","5"
"56","Hungary","5"
"57","Poland","5"
"58","Peru","1"
"59","Brazil","1"
"60","Colombia","1"
"61","Mexico","1"
"62","South Africa","1"
"63","Romania","1"
"64","Russia","1"
"65","Ukraine","1"
"66","Greece","1"
"67","Italy","1"
"68","Lebanon","1"
"69","Turkey","1"
"70","Malaysia","1"
"71","Iran","1"
"72","Canada","1"
"73","Kazakhstan","1"
"74","Costa Rica","1"
"75","United States","1"
"76","Chile","1"
"77","Jordan","1"
"78","Argentina","1"
"79","Spain","1"
